od_key,src,dst,is_diag,class,flow_scale,sum_mse,rmse,mae,mean_true,max_true,mean_pred,rank,mse_share_pct,cum_mse_pct,rank_pct,tier
41_47-41_47,41_47,41_47,True,Partial Recovery,Hub (≥500人),27768.126671457732,31.491567279113294,25.168756890394544,633.7353032271884,703.8619344319953,637.5248678571427,1,5.617471578598378,5.617471578598378,0.06451612903225806,🔴 Top 1% 核心幹線 (極高誤差)
30_69-30_69,30_69,30_69,True,True Stable,Hub (≥500人),27730.713965309707,31.470345432139823,26.34235178125528,583.8497821983971,667.8327384978645,590.7534071428571,2,5.609903015693448,11.227374594291826,0.12903225806451613,🔴 Top 1% 核心幹線 (極高誤差)
34_70-34_70,34_70,34_70,True,True Stable,Large (200~500人),24798.798545309586,29.760231461099213,27.109337946520043,243.5056179730789,307.0714752544799,236.1568964285714,3,5.016778685140962,16.244153279432787,0.1935483870967742,🔴 Top 1% 核心幹線 (極高誤差)
31_69-31_69,31_69,31_69,True,True Stable,Hub (≥500人),21574.45251923905,27.758172875774708,20.812427974697275,563.7173129646015,639.188874593579,565.0989107142858,4,4.36449585831147,20.608649137744255,0.25806451612903225,🔴 Top 1% 核心幹線 (極高誤差)
32_48-32_48,32_48,32_48,True,True Stable,Large (200~500人),16672.856140804703,24.402031634392294,17.584056008882186,374.3584670520754,434.72324331988534,375.81920714285707,5,3.3729065202407136,23.98155565798497,0.3225806451612903,🔴 Top 1% 核心幹線 (極高誤差)
30_68-30_68,30_68,30_68,True,True Stable,Medium (50~200人),15468.956147639756,23.50452551230428,19.104409667892096,151.72882540726602,173.5673016918357,151.23315714285715,6,3.129358438114227,27.110914096099197,0.3870967741935484,🔴 Top 1% 核心幹線 (極高誤差)
58_44-58_44,58_44,58_44,True,Persistent Decrease,Large (200~500人),13573.808997181854,22.017694991903554,17.242329510620433,350.3928747277599,405.28078140743776,359.1305464285714,7,2.7459715650666587,29.856885661165855,0.4516129032258065,🔴 Top 1% 核心幹線 (極高誤差)
31_70-31_70,31_70,31_70,True,True Stable,Large (200~500人),12216.031288524777,20.88748026289978,16.930282692060903,260.7614632963649,306.89116940328523,263.14811428571426,8,2.471294134403845,32.3281797955697,0.5161290322580645,🔴 Top 1% 核心幹線 (極高誤差)
33_70-33_70,33_70,33_70,True,True Stable,Large (200~500人),10981.318989921987,19.80378660574248,15.155356384466788,319.5321975900538,346.0760300272908,322.40965714285716,9,2.2215127455758985,34.549692541145596,0.5806451612903226,🔴 Top 1% 核心幹線 (極高誤差)
32_70-32_70,32_70,32_70,True,True Stable,Large (200~500人),10812.912837449096,19.651347497826322,15.670147140024335,244.2430370199705,278.3018237734205,245.07581785714288,10,2.1874443049363665,36.73713684608196,0.6451612903225806,🔴 Top 1% 核心幹線 (極高誤差)
